shieldcharacter,attackcharacter,movehitbox,charmovehitbox,shieldadvantage,shieldadvantageforcalculation,correctstartup,correctrow,randomrow1,randomrow2,randomrow3,totalnumberofchoices,correct,randomchoice1,randomchoice2,randomchoice3,choiceA,choiceB,choiceC,choiceD,correctindex,explanation,Column 1
Luigi,Donkey Kong,Nair (Early Hit),Donkey Kong Nair (Early Hit),-5,5,0,1,11,8,2,11,No Guaranteed Punish,Up Tilt/Dtilt/Ftilt,Dash Attack,Fair,Up Tilt/Dtilt/Ftilt,Fair,Dash Attack,No Guaranteed Punish,D,Move is -5 on shield. Luigi does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Luigi,Donkey Kong,Nair (Late Hit),Donkey Kong Nair (Late Hit),-6,6,6,2,10,6,9,11,Nair,No Guaranteed Punish,Fair,Shield Grab,Shield Grab,Nair,Fair,No Guaranteed Punish,B,Move is -6 on shield. Nair comes out on frame 6.,1.0
Luigi,Donkey Kong,Fair (Meteor Hit),Donkey Kong Fair (Meteor Hit),-11,11,10,4,10,5,11,11,Fair,Side B,Shield Grab,Up B/Up Air,Side B,Fair,Up B/Up Air,Shield Grab,B,Move is -11 on shield. Fair comes out on frame 10.,1.0
Luigi,Donkey Kong,Bair (Early Hit),Donkey Kong Bair (Early Hit),-6,6,6,2,9,10,1,11,Nair,F Smash,Down Smash,Up Tilt/Dtilt/Ftilt,Up Tilt/Dtilt/Ftilt,F Smash,Down Smash,Nair,D,Move is -6 on shield. Nair comes out on frame 6.,1.0
Ness,Donkey Kong,Nair (Early Hit),Donkey Kong Nair (Early Hit),-5,5,0,1,9,7,4,11,No Guaranteed Punish,Dair/Side B (Air),Side B (Ground),Jab/Dtilt,Dair/Side B (Air),No Guaranteed Punish,Jab/Dtilt,Side B (Ground),B,Move is -5 on shield. Ness does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Ness,Donkey Kong,Nair (Late Hit),Donkey Kong Nair (Late Hit),-6,6,0,1,4,3,5,11,No Guaranteed Punish,Side B (Ground),Fair/Up Air,Nair,Side B (Ground),No Guaranteed Punish,Nair,Fair/Up Air,B,Move is -6 on shield. Ness does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Ness,Donkey Kong,Fair (Meteor Hit),Donkey Kong Fair (Meteor Hit),-11,11,11,4,9,10,6,11,Fair/Up Air,Nair,Ftilt,F Smash,Fair/Up Air,Nair,Ftilt,F Smash,A,Move is -11 on shield. Fair/Up Air comes out on frame 11.,1.0
Ness,Donkey Kong,Bair (Early Hit),Donkey Kong Bair (Early Hit),-6,6,0,1,6,11,8,11,No Guaranteed Punish,Ftilt,Up Tilt,Nair,No Guaranteed Punish,Nair,Up Tilt,Ftilt,A,Move is -6 on shield. Ness does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Captain Falcon,Donkey Kong,Nair (Early Hit),Donkey Kong Nair (Early Hit),-5,5,0,1,3,9,2,11,No Guaranteed Punish,Up B (Ground)/Jab,F Smash/Down Smash,Up Tilt (Latest Hit),Up Tilt (Latest Hit),No Guaranteed Punish,F Smash/Down Smash,Up B (Ground)/Jab,B,Move is -5 on shield. Captain Falcon does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Captain Falcon,Donkey Kong,Nair (Late Hit),Donkey Kong Nair (Late Hit),-6,6,0,1,3,11,6,11,No Guaranteed Punish,Up Tilt (Latest Hit),Up B (Air)/Fair,Dair,Dair,Up Tilt (Latest Hit),Up B (Air)/Fair,No Guaranteed Punish,D,Move is -6 on shield. Captain Falcon does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Captain Falcon,Donkey Kong,Fair (Meteor Hit),Donkey Kong Fair (Meteor Hit),-11,11,10,2,5,4,7,11,Shield Grab/Nair/Up Air,Dair,Dash Attack/Ftilt,Up Tilt (Latest Hit),Dair,Up Tilt (Latest Hit),Shield Grab/Nair/Up Air,Dash Attack/Ftilt,C,Move is -11 on shield. Shield Grab/Nair/Up Air comes out on frame 10.,1.0
Captain Falcon,Donkey Kong,Bair (Early Hit),Donkey Kong Bair (Early Hit),-6,6,0,1,5,2,9,11,No Guaranteed Punish,Up B (Air)/Fair,Side B (Earliest Hit),Down B,Side B (Earliest Hit),No Guaranteed Punish,Down B,Up B (Air)/Fair,B,Move is -6 on shield. Captain Falcon does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Jigglypuff,Donkey Kong,Nair (Early Hit),Donkey Kong Nair (Early Hit),-5,5,5,2,10,4,12,12,Down B (Air),Dtilt,Up Air (Latest Hit),Shield Grab/Dair,Shield Grab/Dair,Up Air (Latest Hit),Dtilt,Down B (Air),D,Move is -5 on shield. Down B (Air) comes out on frame 5.,1.0
Jigglypuff,Donkey Kong,Nair (Late Hit),Donkey Kong Nair (Late Hit),-6,6,5,2,6,11,9,12,Down B (Air),Down Smash,Dtilt,Ftilt,Dtilt,Down Smash,Down B (Air),Ftilt,C,Move is -6 on shield. Down B (Air) comes out on frame 5.,1.0
Jigglypuff,Donkey Kong,Fair (Meteor Hit),Donkey Kong Fair (Meteor Hit),-11,11,11,5,12,7,3,12,Fair,Nair,Ftilt,Up Smash (Latest Hit),Up Smash (Latest Hit),Nair,Fair,Ftilt,C,Move is -11 on shield. Fair comes out on frame 11.,1.0
Jigglypuff,Donkey Kong,Bair (Early Hit),Donkey Kong Bair (Early Hit),-6,6,5,2,4,1,5,12,Down B (Air),Jab/Dash Attack/Side B (Air),Dtilt,No Guaranteed Punish,No Guaranteed Punish,Dtilt,Down B (Air),Jab/Dash Attack/Side B (Air),C,Move is -6 on shield. Down B (Air) comes out on frame 5.,1.0
Min Min,Donkey Kong,Nair (Early Hit),Donkey Kong Nair (Early Hit),-5,5,0,1,3,9,10,10,No Guaranteed Punish,Shield Grab,Dtilt,Down Smash,No Guaranteed Punish,Dtilt,Down Smash,Shield Grab,A,Move is -5 on shield. Min Min does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Min Min,Donkey Kong,Nair (Late Hit),Donkey Kong Nair (Late Hit),-6,6,0,1,4,10,9,10,No Guaranteed Punish,Ram Ram Nair,Dash Attack,F Smash,F Smash,Dash Attack,Ram Ram Nair,No Guaranteed Punish,D,Move is -6 on shield. Min Min does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Min Min,Donkey Kong,Fair (Meteor Hit),Donkey Kong Fair (Meteor Hit),-11,11,11,3,5,4,1,10,Ram Ram Nair,Ftilt,Shield Grab,No Guaranteed Punish,Ram Ram Nair,No Guaranteed Punish,Shield Grab,Ftilt,A,Move is -11 on shield. Ram Ram Nair comes out on frame 11.,1.0
Min Min,Donkey Kong,Bair (Early Hit),Donkey Kong Bair (Early Hit),-6,6,0,1,2,9,6,10,No Guaranteed Punish,F Smash,Down Smash,Ftilt,Down Smash,No Guaranteed Punish,Ftilt,F Smash,B,Move is -6 on shield. Min Min does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Mario,Link,Nair (Early Hit),Link Nair (Early Hit),-1,1,0,1,7,6,4,10,No Guaranteed Punish,F Smash,Ftilt/Up Tilt/Dtilt/Down Smash,Up Smash (final hitbox),Ftilt/Up Tilt/Dtilt/Down Smash,Up Smash (final hitbox),No Guaranteed Punish,F Smash,C,Move is -1 on shield. Mario does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Mario,Link,Nair (Late Hit),Link Nair (Late Hit),-3,3,3,2,4,9,8,10,Up B,Shield Grab,Dash Attack,Nair,Shield Grab,Dash Attack,Up B,Nair,C,Move is -3 on shield. Up B comes out on frame 3.,1.0
Mario,Link,Fair,Link Fair,-7,7,7,4,9,5,2,10,Up Air,Up B,Shield Grab,No Guaranteed Punish,Up B,No Guaranteed Punish,Shield Grab,Up Air,D,Move is -7 on shield. Up Air comes out on frame 7.,1.0
Mario,Link,Bair,Link Bair,-3,3,3,2,8,4,6,10,Up B,Dash Attack,Jab,F Smash,Up B,F Smash,Dash Attack,Jab,A,Move is -3 on shield. Up B comes out on frame 3.,1.0
Donkey Kong,Link,Nair (Early Hit),Link Nair (Early Hit),-1,1,0,1,7,6,12,14,No Guaranteed Punish,Fair (Latest Hit),Dtilt/Dair,Side B,Fair (Latest Hit),Dtilt/Dair,Side B,No Guaranteed Punish,D,Move is -1 on shield. Donkey Kong does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Donkey Kong,Link,Nair (Late Hit),Link Nair (Late Hit),-3,3,0,1,13,6,14,14,No Guaranteed Punish,Fair (Latest Hit),Up B (Ground),Neutral B (Full Charge),No Guaranteed Punish,Fair (Latest Hit),Neutral B (Full Charge),Up B (Ground),A,Move is -3 on shield. Donkey Kong does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Donkey Kong,Link,Fair,Link Fair,-7,7,0,1,13,4,5,14,No Guaranteed Punish,Nair,Down B (Ground),Shield Grab,Shield Grab,Nair,No Guaranteed Punish,Down B (Ground),C,Move is -7 on shield. Donkey Kong does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Donkey Kong,Link,Bair,Link Bair,-3,3,0,1,3,4,6,14,No Guaranteed Punish,F Smash,Dash Attack,Down Smash,No Guaranteed Punish,Down Smash,F Smash,Dash Attack,A,Move is -3 on shield. Donkey Kong does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Link,Link,Nair (Early Hit),Link Nair (Early Hit),-1,1,0,1,5,11,4,11,No Guaranteed Punish,Fair,Ftilt,Jab,No Guaranteed Punish,Jab,Ftilt,Fair,A,Move is -1 on shield. Link does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Link,Link,Nair (Late Hit),Link Nair (Late Hit),-3,3,0,1,2,10,4,11,No Guaranteed Punish,Up B,Fair,Dtilt,Up B,Fair,Dtilt,No Guaranteed Punish,D,Move is -3 on shield. Link does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Link,Link,Fair,Link Fair,-7,7,7,2,5,7,1,11,Up B,Dash Attack,No Guaranteed Punish,Dtilt,Up B,Dtilt,Dash Attack,No Guaranteed Punish,A,Move is -7 on shield. Up B comes out on frame 7.,1.0
Link,Link,Bair,Link Bair,-3,3,0,1,10,3,8,11,No Guaranteed Punish,Dtilt,Fair,Up B,Fair,Up B,No Guaranteed Punish,Dtilt,C,Move is -3 on shield. Link does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Samus,Link,Nair (Early Hit),Link Nair (Early Hit),-1,1,0,1,9,11,10,11,No Guaranteed Punish,Up B,Jab,Dtilt,Up B,Dtilt,Jab,No Guaranteed Punish,D,Move is -1 on shield. Samus does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Samus,Link,Nair (Late Hit),Link Nair (Late Hit),-3,3,0,1,9,7,4,11,No Guaranteed Punish,Dtilt,F Smash,Dair (Meteor),No Guaranteed Punish,Dtilt,Dair (Meteor),F Smash,A,Move is -3 on shield. Samus does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Samus,Link,Fair,Link Fair,-7,7,4,2,7,5,6,11,Up B,Nair/Up Smash,Dair (Meteor),Up Tilt (Latest Hit),Up Tilt (Latest Hit),Dair (Meteor),Nair/Up Smash,Up B,D,Move is -7 on shield. Up B comes out on frame 4.,1.0
Samus,Link,Bair,Link Bair,-3,3,0,1,11,8,10,11,No Guaranteed Punish,F Smash,Shield Grab/Dash Attack/Ftilt,Nair/Up Smash,Nair/Up Smash,Shield Grab/Dash Attack/Ftilt,F Smash,No Guaranteed Punish,D,Move is -3 on shield. Samus does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Yoshi,Link,Nair (Early Hit),Link Nair (Early Hit),-1,1,0,1,8,6,4,10,No Guaranteed Punish,Down Smash/Down B/Shield Grab,Up Smash,Fair (Latest Hit),No Guaranteed Punish,Up Smash,Down Smash/Down B/Shield Grab,Fair (Latest Hit),A,Move is -1 on shield. Yoshi does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Yoshi,Link,Nair (Late Hit),Link Nair (Late Hit),-3,3,0,1,8,3,6,10,No Guaranteed Punish,Ftilt,Nair,Dash Attack,Dash Attack,Ftilt,Nair,No Guaranteed Punish,D,Move is -3 on shield. Yoshi does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Yoshi,Link,Fair,Link Fair,-7,7,6,2,6,3,10,10,Nair,Jab,F Smash,Ftilt,Nair,F Smash,Ftilt,Jab,A,Move is -7 on shield. Nair comes out on frame 6.,1.0
Yoshi,Link,Bair,Link Bair,-3,3,0,1,4,8,3,10,No Guaranteed Punish,Nair,Down Smash/Down B/Shield Grab,Up Smash,Up Smash,No Guaranteed Punish,Nair,Down Smash/Down B/Shield Grab,B,Move is -3 on shield. Yoshi does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Kirby,Link,Nair (Early Hit),Link Nair (Early Hit),-1,1,0,1,10,7,9,11,No Guaranteed Punish,Up Tilt (Latest Hit)/Dair/Neutral B,Fair/Jab,Nair/Up Air,Nair/Up Air,No Guaranteed Punish,Fair/Jab,Up Tilt (Latest Hit)/Dair/Neutral B,B,Move is -1 on shield. Kirby does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Kirby,Link,Nair (Late Hit),Link Nair (Late Hit),-3,3,0,1,2,5,7,11,No Guaranteed Punish,Up Smash,Up Tilt (Latest Hit)/Dair/Neutral B,Dtilt,Dtilt,Up Tilt (Latest Hit)/Dair/Neutral B,No Guaranteed Punish,Up Smash,C,Move is -3 on shield. Kirby does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Kirby,Link,Fair,Link Fair,-7,7,0,1,5,7,6,11,No Guaranteed Punish,Down Smash,Dtilt,Nair/Up Air,Down Smash,Dtilt,No Guaranteed Punish,Nair/Up Air,C,Move is -7 on shield. Kirby does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Kirby,Link,Bair,Link Bair,-3,3,0,1,8,4,6,11,No Guaranteed Punish,Ftilt,Up Tilt (Latest Hit)/Dair/Neutral B,Down Smash,Ftilt,Down Smash,No Guaranteed Punish,Up Tilt (Latest Hit)/Dair/Neutral B,C,Move is -3 on shield. Kirby does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Fox,Link,Nair (Early Hit),Link Nair (Early Hit),-1,1,0,1,3,9,5,10,No Guaranteed Punish,Dash Attack,Down Smash,Jab,Jab,No Guaranteed Punish,Dash Attack,Down Smash,B,Move is -1 on shield. Fox does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Fox,Link,Nair (Late Hit),Link Nair (Late Hit),-3,3,0,1,9,10,7,10,No Guaranteed Punish,Jab,F Smash,Down Smash,Down Smash,F Smash,No Guaranteed Punish,Jab,C,Move is -3 on shield. Fox does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Fox,Link,Fair,Link Fair,-7,7,7,3,1,10,6,10,Nair,Jab,No Guaranteed Punish,F Smash,Jab,No Guaranteed Punish,F Smash,Nair,D,Move is -7 on shield. Nair comes out on frame 7.,1.0
Fox,Link,Bair,Link Bair,-3,3,0,1,4,6,5,10,No Guaranteed Punish,Down B (Air),Nair,Up Smash/Dair,Nair,Down B (Air),No Guaranteed Punish,Up Smash/Dair,C,Move is -3 on shield. Fox does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Pikachu,Link,Nair (Early Hit),Link Nair (Early Hit),-1,1,0,1,4,11,9,11,No Guaranteed Punish,Fair,Up Tilt (Latest Hit),Shield Grab/Up Air (Latest Hit),Up Tilt (Latest Hit),Fair,No Guaranteed Punish,Shield Grab/Up Air (Latest Hit),C,Move is -1 on shield. Pikachu does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Pikachu,Link,Nair (Late Hit),Link Nair (Late Hit),-3,3,0,1,10,5,11,11,No Guaranteed Punish,Dash Attack/Dair/Ftilt,Down Smash,Up Smash,Up Smash,Dash Attack/Dair/Ftilt,Down Smash,No Guaranteed Punish,D,Move is -3 on shield. Pikachu does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Pikachu,Link,Fair,Link Fair,-7,7,6,2,7,4,5,11,Nair,Jab,Up Tilt (Latest Hit),Dash Attack/Dair/Ftilt,Jab,Dash Attack/Dair/Ftilt,Nair,Up Tilt (Latest Hit),C,Move is -7 on shield. Nair comes out on frame 6.,1.0
Pikachu,Link,Bair,Link Bair,-3,3,0,1,7,6,2,11,No Guaranteed Punish,Up Tilt (Latest Hit),Nair,Shield Grab/Up Air (Latest Hit),Up Tilt (Latest Hit),No Guaranteed Punish,Nair,Shield Grab/Up Air (Latest Hit),B,Move is -3 on shield. Pikachu does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Luigi,Link,Nair (Early Hit),Link Nair (Early Hit),-1,1,0,1,4,5,11,11,No Guaranteed Punish,Up B/Up Air,Side B,Shield Grab,No Guaranteed Punish,Side B,Shield Grab,Up B/Up Air,A,Move is -1 on shield. Luigi does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Luigi,Link,Nair (Late Hit),Link Nair (Late Hit),-3,3,0,1,10,11,9,11,No Guaranteed Punish,Down Smash,Nair,Up Tilt/Dtilt/Ftilt,Up Tilt/Dtilt/Ftilt,No Guaranteed Punish,Nair,Down Smash,B,Move is -3 on shield. Luigi does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Luigi,Link,Fair,Link Fair,-7,7,6,2,4,9,3,11,Nair,F Smash,No Guaranteed Punish,Dash Attack,Nair,Dash Attack,F Smash,No Guaranteed Punish,A,Move is -7 on shield. Nair comes out on frame 6.,1.0
Luigi,Link,Bair,Link Bair,-3,3,0,1,10,7,3,11,No Guaranteed Punish,Fair,Nair,Up B/Up Air,Up B/Up Air,Fair,No Guaranteed Punish,Nair,C,Move is -3 on shield. Luigi does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Ness,Link,Nair (Early Hit),Link Nair (Early Hit),-1,1,0,1,2,7,10,11,No Guaranteed Punish,Side B (Ground),Fair/Up Air,Jab/Dtilt,Fair/Up Air,Side B (Ground),No Guaranteed Punish,Jab/Dtilt,C,Move is -1 on shield. Ness does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Ness,Link,Nair (Late Hit),Link Nair (Late Hit),-3,3,0,1,10,6,4,11,No Guaranteed Punish,Ftilt,F Smash,Dash Attack,Ftilt,No Guaranteed Punish,Dash Attack,F Smash,B,Move is -3 on shield. Ness does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Ness,Link,Fair,Link Fair,-7,7,0,1,9,3,6,11,No Guaranteed Punish,Fair/Up Air,Ftilt,Dair/Side B (Air),Ftilt,Fair/Up Air,No Guaranteed Punish,Dair/Side B (Air),C,Move is -7 on shield. Ness does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Ness,Link,Bair,Link Bair,-3,3,0,1,6,4,3,11,No Guaranteed Punish,Up Smash/Shield Grab/Down B (Air),Side B (Ground),Up Tilt,Up Tilt,Side B (Ground),No Guaranteed Punish,Up Smash/Shield Grab/Down B (Air),C,Move is -3 on shield. Ness does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Captain Falcon,Link,Nair (Early Hit),Link Nair (Early Hit),-1,1,0,1,2,11,5,11,No Guaranteed Punish,Side B (Earliest Hit),Down B,Up B (Air)/Fair,Down B,Side B (Earliest Hit),Up B (Air)/Fair,No Guaranteed Punish,D,Move is -1 on shield. Captain Falcon does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Captain Falcon,Link,Nair (Late Hit),Link Nair (Late Hit),-3,3,0,1,3,8,9,11,No Guaranteed Punish,Dair,F Smash/Down Smash,Down B,F Smash/Down Smash,No Guaranteed Punish,Dair,Down B,B,Move is -3 on shield. Captain Falcon does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Captain Falcon,Link,Fair,Link Fair,-7,7,0,1,10,11,8,11,No Guaranteed Punish,Side B (Earliest Hit),Shield Grab/Nair/Up Air,Up B (Air)/Fair,Side B (Earliest Hit),Up B (Air)/Fair,No Guaranteed Punish,Shield Grab/Nair/Up Air,C,Move is -7 on shield. Captain Falcon does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Captain Falcon,Link,Bair,Link Bair,-3,3,0,1,7,8,4,11,No Guaranteed Punish,F Smash/Down Smash,Side B (Earliest Hit),Up Tilt (Latest Hit),No Guaranteed Punish,Side B (Earliest Hit),F Smash/Down Smash,Up Tilt (Latest Hit),A,Move is -3 on shield. Captain Falcon does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Jigglypuff,Link,Nair (Early Hit),Link Nair (Early Hit),-1,1,0,1,4,10,8,12,No Guaranteed Punish,F Smash,Jab/Dash Attack/Side B (Air),Dtilt,Dtilt,F Smash,No Guaranteed Punish,Jab/Dash Attack/Side B (Air),C,Move is -1 on shield. Jigglypuff does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Jigglypuff,Link,Nair (Late Hit),Link Nair (Late Hit),-3,3,0,1,11,2,12,12,No Guaranteed Punish,Jab/Dash Attack/Side B (Air),Shield Grab/Dair,Up Smash (Latest Hit),Shield Grab/Dair,Up Smash (Latest Hit),No Guaranteed Punish,Jab/Dash Attack/Side B (Air),C,Move is -3 on shield. Jigglypuff does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Jigglypuff,Link,Fair,Link Fair,-7,7,5,2,6,7,1,12,Down B (Air),Up Smash (Latest Hit),Ftilt,Up Air (Latest Hit),Ftilt,Up Smash (Latest Hit),Up Air (Latest Hit),Down B (Air),D,Move is -7 on shield. Down B (Air) comes out on frame 5.,1.0
Jigglypuff,Link,Bair,Link Bair,-3,3,0,1,9,11,5,12,No Guaranteed Punish,Ftilt,Fair,Shield Grab/Dair,Shield Grab/Dair,Fair,No Guaranteed Punish,Ftilt,C,Move is -3 on shield. Jigglypuff does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Min Min,Link,Nair (Early Hit),Link Nair (Early Hit),-1,1,0,1,3,6,10,10,No Guaranteed Punish,Shield Grab,Dash Attack,Ram Ram Nair,No Guaranteed Punish,Shield Grab,Ram Ram Nair,Dash Attack,A,Move is -1 on shield. Min Min does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Min Min,Link,Nair (Late Hit),Link Nair (Late Hit),-3,3,0,1,7,6,9,10,No Guaranteed Punish,Up Smash,Shield Grab,Dtilt,No Guaranteed Punish,Dtilt,Up Smash,Shield Grab,A,Move is -3 on shield. Min Min does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Min Min,Link,Fair,Link Fair,-7,7,0,1,7,5,8,10,No Guaranteed Punish,Shield Grab,Ram Ram Nair,Dtilt,Ram Ram Nair,Dtilt,Shield Grab,No Guaranteed Punish,D,Move is -7 on shield. Min Min does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Min Min,Link,Bair,Link Bair,-3,3,0,1,7,10,9,10,No Guaranteed Punish,Jab,Up Smash,F Smash,Jab,No Guaranteed Punish,F Smash,Up Smash,B,Move is -3 on shield. Min Min does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Mario,Mario,Up Air,Mario Up Air,-3,3,3,2,4,9,3,10,Up B,No Guaranteed Punish,Jab,Up Smash (final hitbox),Up B,No Guaranteed Punish,Jab,Up Smash (final hitbox),A,Move is -3 on shield. Up B comes out on frame 3.,1.0
Donkey Kong,Mario,Up Air,Mario Up Air,-3,3,0,1,5,3,6,14,No Guaranteed Punish,Down B (Ground),Down Smash,Up B (Ground),No Guaranteed Punish,Down B (Ground),Down Smash,Up B (Ground),A,Move is -3 on shield. Donkey Kong does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Link,Mario,Up Air,Mario Up Air,-3,3,0,1,10,11,7,11,No Guaranteed Punish,Jab,Ftilt,Dash Attack,Dash Attack,No Guaranteed Punish,Jab,Ftilt,B,Move is -3 on shield. Link does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Samus,Mario,Up Air,Mario Up Air,-3,3,0,1,10,2,7,11,No Guaranteed Punish,Dair (Meteor),Neutral B,Nair/Up Smash,Neutral B,Nair/Up Smash,Dair (Meteor),No Guaranteed Punish,D,Move is -3 on shield. Samus does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Yoshi,Mario,Up Air,Mario Up Air,-3,3,0,1,7,10,3,10,No Guaranteed Punish,Down Smash/Down B/Shield Grab,Up Smash,Dash Attack,Dash Attack,No Guaranteed Punish,Up Smash,Down Smash/Down B/Shield Grab,B,Move is -3 on shield. Yoshi does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Kirby,Mario,Up Air,Mario Up Air,-3,3,0,1,4,11,2,11,No Guaranteed Punish,Ftilt,Up Tilt (Latest Hit)/Dair/Neutral B,Dtilt,Up Tilt (Latest Hit)/Dair/Neutral B,Dtilt,Ftilt,No Guaranteed Punish,D,Move is -3 on shield. Kirby does not have a fast enough out of shield option to get a guaranteed punish.,1.0
